ProductoID,ProductoNombre,ProductoPrecio,ProductoStock,UnidaMedidaID,ProductoStatus
3213ACNACSILLANA-0940R,SILLA GAMER NACEB NA-0940R FALCON NGA/ROJA 100% NYLON (TELA) ALTURA Y RESPALDO AJUSTABLE,2570,2,Pza,VERDADERO
ACACKAC-930642,TOALLAS ACTECK LIMPIADORAS BOTE 100PZ AC-930642,59,5,Pza,VERDADERO
ACACKAC-932943,HUB DOCKING ACTECK TIPO C 10 EN 1 PLATA NEGRO ANTI FINGER-PRINT X DH670 REQUIERE DISPLAY PORT ALT MOD/PD POWER,972,21,Pza,VERDADERO
ACACKAC-932950,HUB DOCKING ACTECK TIPO C 15 EN 1PLATA NEGRO ANTI FINGER-PRINT PORT X DH690 REQUIERE DISPLAY PORT ALT MOD/PD POWER,1561,2,Pza,VERDADERO
ACACKAC-934541,BASE ELEVADORA ACTECK PARA PORTATIL VAULT COUCH BC410 SOPORTE MOUSE AJUSTE MULTIANGULO,415,11,Pza,VERDADERO
ACACKAC-934558,BASE ELEVADORA ACTECK PARA MONITOR VAULT COUCH BC410 3 NIVELES AJUSTABLE + DE ACERO,435,5,Pza,VERDADERO
ACACKAC-934572,BASE ELEVADORA ACTECK PARA MONITOR VAULT TOP BE420 AJUSTABLE 3 NIVELES DE ACERO,237,3,Pza,VERDADERO
ACACKAC-934589,BASE ELEVADORA ACTECK PARA MONITOR VAULT TOP BE425 ELEVA 3.2 PULGADAS DE ACERO,261,5,Pza,VERDADERO
ACACKAC-934619,HUB ACTECK USB C 6 EN 1 GATE 6 DH660 4K HDMI USB A 3.0 + 1USB A 2.0 + SD/TF + USB C PD CARGADOR,407,4,Pza,VERDADERO
ACACKAC-934626,HUB ACTECK USB C 8 EN 1 GATE 8 DH675 4K HDMI + ETHERNET 1000MBPS + 3USB A 3.0 +SD/TF + USB C PD CARGADOR,760,5,Pza,VERDADERO
ACACKAC-934985,BARRA DE LUZ ACTECK PARA MONITOR LUMINATE TOP BL465 ULTRA DELGADO ILUMINACION E INTENSIDAD AJUSTEBLE,374,5,Pza,VERDADERO
ACACKAC-934992,BARRA DE LUZ ACTECK PARA LAPTOP LUMINATE SHADE BL460 ULTRA DELGADO ILUMINACION E INTENSIDAD AJUSTEBLE,320,4,Pza,VERDADERO
ACACKAC-935555,CARGADOR TURBO DE PARED ACTECK CON TECNOLOGIA GAN CP420 ENERGON PRIME CARGA ULTRA RAPIDA DE 20W 1 USB C,148,15,Pza,VERDADERO
ACACKAC-935562,CARGADOR TURBO DE PARED ACTECK CON TECNOLOGIA GAN CP440 ENERGON PLUS CARGA ULTRA RAPIDA DE 35W 1 USB C,192,16,Pza,VERDADERO
ACACKAC-935579,CARGADOR TURBO DE PARED ACTECK CON TECNOLOGIA GAN ENERGON PRO CARGA ULTRA RAPIDA DE 65W 2 USB C,390,25,Pza,VERDADERO
ACACKSILLABR-932929,SILLA GAMER BALAM RUSH GRIS THUNDER COMP PISTO DE GAS CLASE 4 INCLINACION 90-180 SOPORTA HASTA 150K,3930,2,Pza,VERDADERO
ACACKSILLABR-934534,SILLA GAMER BALAM RUSH POWER RUSH V2 BLACK EDITION MEDIANA TELA Y PIEL RECLINABLE BR-934534,1937,12,Pza,VERDADERO
ACACKTB-916332,FUNDA PARA CELULAR TRUE BASIC UNIVERSAL TIPO FOLDER HASTA 6.5 GRIS/VERDE,31,3,Pza,VERDADERO
ACADAAP10000QCDAM,CARGADOR ADATA POWER BANK 10000MAH AZUL MARINO AP10000QCD-DGT-CDB PORTATIL,18,10,Pza,VERDADERO
ACAIRE331,AIRE COMPRIMIDO PERFECT CHOICE E-DUSTER 330ML,75,100,Pza,VERDADERO
ACAIRENA620,AIRE COMPRIMIDO NACEB 440ML,91,100,Pza,VERDADERO
ACAIRENA621,AIRE COMPRIMIDO NACEB 660ML,109,53,Pza,VERDADERO
ACAIREPC-034100,AIRE COMPRIMIDO PARA REMOVER POLVO 330ML CADA UNO 2 PIEZAS,146,11,Pza,VERDADERO
ACBROB1318,CARGADOR BROBOTIX COMBO CARGA RnPIDA USB V3.0 + CABLE USB TIPO C BLANCO,124,6,Pza,VERDADERO
ACBROB1332,CARGADOR BROBOTIX COMBO CARGA RnPIDA USB V3.0 + CABLE USB TIPO C ROSA,124,2,Pza,VERDADERO
ACBROB1349,CARGADOR BROBOTIX COMBO CARGA RnPIDA USB V3.0 + CABLE LIGHTNING BLANCO,124,28,Pza,VERDADERO
ACBROB136285,MOUSEPAD BROBOTIX 24X20CM CON BOLSA PAQUETE CON 10 PAISAJES,194,1,Pza,VERDADERO
ACBROB1776,CABLE BROBOTIX CARGA RnPIDA USB V3.0 TIPO C/ PVC/ 1.0 M/ NEGRO,68,14,Pza,VERDADERO
ACBROB256349-1,FUNDA BROBOTIX DE NEOPRENO PARA LAPTOP 15.6 BASICA ROSA,141,2,Pza,VERDADERO
ACBROB256349-2,FUNDA BROBOTIX DE NEOPRENO PARA LAPTOP 15.6 BASICA AZUL CELESTE,141,1,Pza,VERDADERO
ACBROB263533,ORGANIZADOR DE CABLES BROBOTIX EN TUBO NEGRO 1.5 METROS,72,24,Pza,VERDADERO
ACBROB332A,COMBO CARGADOR PARED USB V3.0 + CABLE USB TIPO C CARGA RAPIDA BROBOTIX AZUL,132,12,Pza,VERDADERO
ACBROB350,MALETIN BACKPACK BROBOTIX PARA LAPTOP KIROV 15.4 NEGRO,306,2,Pza,VERDADERO
ACBROB497264,MOUSEPAD BROBOTIX 24X20CM CON BOLSA BROBOTIX NEGRO,24,6,Pza,VERDADERO
ACBROB571,CONVERTIDOR BROBOTIX USB A AUDIO 7.1 GRIS METALICO,118,2,Pza,VERDADERO
ACBROB6000298,CANDADO PARA LAPTOP BROBOTIX 1.80 MTS NANO COMBINACION,404,5,Pza,VERDADERO
ACBROB6001301,SOPORTE PARA CPU BROBOTIX PLASTICO NEGRO,245,8,Pza,VERDADERO
ACBROB617,"MALETIN BACKPACK BROBOTIX PARA LAPTOP DE 15.6, SPORT, NEGRO",334,10,Pza,VERDADERO
ACBROB651343,MALETIN BACKPACK BROBOTIX 15.4 KIROV AZUL MARINO,309,2,Pza,VERDADERO
ACBROB651879,CONVERTIDOR BROBOTIX USB TIPO C A RJ45 V3.1 GIGAB,404,2,Pza,VERDADERO
